fecha,sede_id,ciudad,departamento,macrozona,fase_campania,festival_abierto_flag,fin_de_semana_flag,lluvia_flag,promocion_activa_flag,inversion_publicitaria_soles,vistas_video_miles,entradas_vendidas,ventas_soles
2026-03-08,SED-02,Piura,Piura,Costa,Antes del video,1,1,0,0,104.49,5.33,267,9539.57
2026-03-08,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,1,0,0,325.09,7.87,21,745.43
2026-03-08,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,1,0,0,154.83,0.87,22,790.5
2026-03-08,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,0,0,163.73,5.89,28,1017.06
2026-03-08,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,1,0,210.98,10.01,28,968.25
2026-03-08,SED-07,Puno,Puno,Sierra,Antes del video,0,1,0,0,279.2,7.46,19,697.14
2026-03-08,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,1,0,0,382.43,4.76,16,598.03
2026-03-08,SED-09,Huancayo,Junín,Sierra,Antes del video,0,1,1,0,302.87,6.02,18,630.65
2026-03-08,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,1,1,0,277.34,6.38,16,574.3
2026-03-08,SED-11,Iquitos,Loreto,Selva,Antes del video,0,1,0,0,25.8,3.97,21,726.13
2026-03-08,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,1,0,0,327.94,3.18,18,650.07
2026-03-09,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,367.04,9.07,405,13874.02
2026-03-09,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,351.4,6.46,197,6942.97
2026-03-09,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,100.07,4.91,18,608.21
2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,259.09,6.5,16,563.83
2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,395.54,5.36,21,760.67
2026-03-09,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,1,0,331.39,15.54,20,705.16
2026-03-09,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,167.65,3.2,15,543.01
2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,214.42,2.89,11,394.22
2026-03-09,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,65.64,2.91,12,432.17
2026-03-09,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,246.46,0.2,11,382.85
2026-03-09,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,143.05,6.52,15,536.55
2026-03-09,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,308.99,4.94,11,391.8
2026-03-10,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,255.56,12.67,352,12431.71
2026-03-10,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,251.67,5.33,166,5876.62
2026-03-10,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,160.81,4.35,24,861.76
2026-03-10,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,225.89,7.88,16,576.56
2026-03-10,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,278.01,6.13,17,593.89
2026-03-10,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,338.95,4.88,25,903.48
2026-03-10,SED-07,Puno,Puno,Sierra,Antes del video,0,0,1,0,268.26,4.39,11,375.91
2026-03-10,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,260.95,6.24,13,465.88
2026-03-10,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,144.65,6.3,15,545.86
2026-03-10,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,1,0,171.94,6.73,11,396.31
2026-03-10,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,263.11,0.2,11,392.07
2026-03-10,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,212.83,4.53,10,353.01
2026-03-11,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,227.06,10.15,354,12490.76
2026-03-11,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,282.81,8.29,189,6410.38
2026-03-11,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,463.81,5.4,23,811.28
2026-03-11,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,274.89,4.09,15,552.54
2026-03-11,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,66.16,5.66,19,678.15
2026-03-11,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,134.78,14.68,19,674.16
2026-03-11,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,238.23,3.73,17,601.52
2026-03-11,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,170.53,7.78,11,417.04
2026-03-11,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,236.81,2.84,18,651.76
2026-03-11,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,288.15,4.6,12,429.23
2026-03-11,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,219.57,3.04,14,502.57
2026-03-11,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,279.41,4.76,11,379.21
2026-03-12,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,291.32,12.83,446,16004.16
2026-03-12,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,349.89,5.16,213,7611.0
2026-03-12,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,214.91,5.07,171,6070.7
2026-03-12,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,1,0,245.53,5.73,16,575.36
2026-03-12,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,195.92,6.55,18,629.51
2026-03-12,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,419.94,7.77,23,794.91
2026-03-12,SED-07,Puno,Puno,Sierra,Antes del video,0,0,1,0,214.63,8.23,14,487.31
2026-03-12,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,217.14,3.43,11,403.9
2026-03-12,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,316.83,5.19,15,553.64
2026-03-12,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,346.53,8.7,12,441.52
2026-03-12,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,252.46,6.03,12,434.3
2026-03-12,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,208.71,3.44,10,368.34
2026-03-13,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,21.22,11.65,400,14576.63
2026-03-13,SED-02,Piura,Piura,Costa,Antes del video,1,0,1,0,368.35,7.53,158,5666.13
2026-03-13,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,346.69,4.05,214,7754.63
2026-03-13,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,200.68,6.56,14,497.76
2026-03-13,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,499.28,4.84,20,730.65
2026-03-13,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,209.41,9.6,17,607.18
2026-03-13,SED-07,Puno,Puno,Sierra,Antes del video,0,0,1,0,177.56,4.07,11,392.51
2026-03-13,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,194.25,5.63,13,460.44
2026-03-13,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,321.8,2.7,15,537.11
2026-03-13,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,1,0,496.4,7.03,9,320.1
2026-03-13,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,285.12,2.78,13,470.03
2026-03-13,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,466.96,6.72,15,549.57
2026-03-14,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,165.06,6.15,560,19887.01
2026-03-14,SED-02,Piura,Piura,Costa,Antes del video,1,1,0,0,273.38,3.91,318,11729.99
2026-03-14,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,1,0,0,163.67,3.29,287,10659.68
2026-03-14,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,1,0,0,98.27,4.19,25,876.8
2026-03-14,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,0,0,292.14,5.82,28,980.76
2026-03-14,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,0,0,18.8,8.57,43,1537.67
2026-03-14,SED-07,Puno,Puno,Sierra,Antes del video,0,1,0,0,408.62,2.72,21,757.34
2026-03-14,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,1,1,0,284.75,7.24,16,567.11
2026-03-14,SED-09,Huancayo,Junín,Sierra,Antes del video,0,1,0,0,275.99,5.0,19,690.96
2026-03-14,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,1,0,0,117.78,4.23,16,572.19
2026-03-14,SED-11,Iquitos,Loreto,Selva,Antes del video,0,1,1,0,227.1,5.84,18,651.27
2026-03-14,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,1,0,0,339.29,4.47,14,477.32
2026-03-15,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,301.29,10.76,565,21084.39
2026-03-15,SED-02,Piura,Piura,Costa,Antes del video,1,1,0,0,112.25,2.54,259,8911.72
2026-03-15,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,1,0,0,143.12,4.5,292,10223.03
2026-03-15,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,1,0,0,224.9,4.08,27,990.67
2026-03-15,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,0,0,312.83,6.79,35,1254.95
2026-03-15,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,0,0,120.66,9.67,32,1134.03
2026-03-15,SED-07,Puno,Puno,Sierra,Antes del video,0,1,0,0,420.74,6.43,21,743.56
2026-03-15,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,1,0,0,331.2,8.68,16,578.04
2026-03-15,SED-09,Huancayo,Junín,Sierra,Antes del video,0,1,1,0,301.73,7.86,22,802.13
2026-03-15,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,1,1,0,528.16,2.67,17,614.33
2026-03-15,SED-11,Iquitos,Loreto,Selva,Antes del video,0,1,1,0,325.45,3.5,15,528.16
2026-03-15,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,1,1,0,273.62,2.58,16,573.08
2026-03-16,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,252.2,11.95,297,10432.2
2026-03-16,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,53.32,4.67,188,6670.31
2026-03-16,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,1,0,374.78,5.52,185,6745.92
2026-03-16,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,225.42,3.53,19,665.16
2026-03-16,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,327.53,5.83,18,648.06
2026-03-16,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,1,0,272.43,9.07,24,884.44
2026-03-16,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,212.55,4.81,13,461.8
2026-03-16,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,407.27,2.92,12,432.45
2026-03-16,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,208.31,1.95,16,548.78
2026-03-16,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,338.29,1.75,11,388.8
2026-03-16,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,260.62,8.25,13,458.53
2026-03-16,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,336.39,5.22,12,419.52
2026-03-17,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,193.68,10.96,424,14715.27
2026-03-17,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,321.09,6.61,202,7275.96
2026-03-17,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,183.49,4.57,208,7455.07
2026-03-17,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,1,0,0,0,276.38,7.47,142,4994.52
2026-03-17,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,402.16,5.32,21,768.03
2026-03-17,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,322.84,9.39,22,769.45
2026-03-17,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,453.27,9.76,13,456.11
2026-03-17,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,216.28,6.79,13,461.51
2026-03-17,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,176.15,5.07,14,505.34
2026-03-17,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,138.3,7.7,11,388.31
2026-03-17,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,281.7,3.14,14,487.18
2026-03-17,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,232.15,5.26,11,413.89
2026-03-18,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,244.28,7.57,345,12932.09
2026-03-18,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,150.41,1.52,186,6764.7
2026-03-18,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,356.75,4.04,195,6978.83
2026-03-18,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,1,0,0,0,293.08,10.07,171,5923.7
2026-03-18,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,1,0,240.31,0.6,16,546.94
2026-03-18,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,196.45,9.26,19,671.1
2026-03-18,SED-07,Puno,Puno,Sierra,Antes del video,0,0,1,0,268.16,3.92,13,460.17
2026-03-18,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,1,0,264.81,7.46,7,237.7
2026-03-18,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,282.42,5.2,15,530.16
2026-03-18,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,389.9,6.09,12,444.95
2026-03-18,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,209.83,0.2,12,431.89
2026-03-18,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,401.62,3.51,12,428.76
2026-03-19,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,208.88,10.64,431,15339.74
2026-03-19,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,504.03,2.15,216,7772.75
2026-03-19,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,406.64,6.74,250,8856.9
2026-03-19,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,1,0,0,0,266.9,6.95,132,4808.11
2026-03-19,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,39.95,1.42,24,831.52
2026-03-19,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,1,0,132.4,8.46,27,1001.86
2026-03-19,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,143.81,0.2,12,419.3
2026-03-19,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,332.38,1.17,9,310.37
2026-03-19,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,256.66,2.06,19,654.23
2026-03-19,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,267.45,5.79,12,405.59
2026-03-19,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,303.71,5.53,14,490.77
2026-03-19,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,304.29,9.03,10,349.67
2026-03-20,SED-01,Lima,Lima,Costa,Antes del video,1,0,1,0,445.48,11.81,317,11564.15
2026-03-20,SED-02,Piura,Piura,Costa,Antes del video,1,0,0,0,403.38,7.85,241,8745.39
2026-03-20,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,0,0,0,312.16,6.58,192,7151.27
2026-03-20,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,1,0,0,0,394.11,6.94,126,4484.13
2026-03-20,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,268.29,8.9,25,913.29
2026-03-20,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,69.17,10.01,22,805.37
2026-03-20,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,128.22,2.79,13,455.46
2026-03-20,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,185.19,6.3,14,503.08
2026-03-20,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,250.54,7.31,15,523.89
2026-03-20,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,263.95,5.04,12,420.99
2026-03-20,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,160.76,4.15,10,357.21
2026-03-20,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,0.0,2.38,10,351.11
2026-03-21,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,294.99,7.81,579,20360.96
2026-03-21,SED-02,Piura,Piura,Costa,Antes del video,1,1,0,0,221.86,2.09,255,8989.48
2026-03-21,SED-03,Trujillo,La Libertad,Costa,Antes del video,1,1,0,0,189.97,6.59,311,10723.07
2026-03-21,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,1,1,0,0,467.01,7.49,321,11227.04
2026-03-21,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,0,0,220.97,2.87,29,1059.79
2026-03-21,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,0,0,357.93,13.09,38,1336.27
2026-03-21,SED-07,Puno,Puno,Sierra,Antes del video,0,1,0,0,278.18,8.39,20,714.98
