envio_id,fecha_envio,semana_inicio,sede_id,ciudad,departamento,macrozona,transportista,vehiculo,distancia_km,lluvia_flag,lluvia_mm,minutos_objetivo,minutos_reales,tardanza_flag,bultos,costo_soles
ENV-00042,2026-03-06,2026-03-02,SED-06,Cusco,Cusco,Sierra,Costa Norte,Van,25.1,0,0.0,86.3,86.6,0,5,135.64
ENV-00043,2026-03-06,2026-03-02,SED-06,Cusco,Cusco,Sierra,Río Rápido,Van,62.5,0,0.0,133.1,183.4,1,4,199.85
ENV-00044,2026-03-07,2026-03-02,SED-06,Cusco,Cusco,Sierra,Costa Norte,Camión,280.3,0,0.0,453.1,514.1,1,29,669.5
ENV-00045,2026-03-05,2026-03-02,SED-06,Cusco,Cusco,Sierra,Costa Norte,Van,39.7,0,0.0,104.7,114.8,0,12,183.73
ENV-00046,2026-03-07,2026-03-02,SED-06,Cusco,Cusco,Sierra,Apu Express,Camión,103.8,1,1.4,202.4,239.1,1,16,356.41
ENV-00047,2026-03-05,2026-03-02,SED-06,Cusco,Cusco,Sierra,Costa Norte,Van,109.9,0,0.0,192.4,168.9,0,32,371.99
ENV-00048,2026-03-07,2026-03-02,SED-06,Cusco,Cusco,Sierra,Costa Norte,Moto,91.7,0,0.0,151.2,148.0,0,33,342.28
ENV-00049,2026-03-03,2026-03-02,SED-07,Puno,Puno,Sierra,Apu Express,Moto,72.5,1,3.8,131.1,153.7,1,28,337.27
ENV-00050,2026-03-04,2026-03-02,SED-07,Puno,Puno,Sierra,Costa Norte,Camión,13.4,0,0.0,74.1,82.8,0,21,164.26
ENV-00051,2026-03-08,2026-03-02,SED-07,Puno,Puno,Sierra,Apu Express,Van,167.0,1,7.1,263.7,251.2,0,14,463.93
ENV-00052,2026-03-05,2026-03-02,SED-07,Puno,Puno,Sierra,Apu Express,Van,134.1,0,0.0,222.6,226.5,0,9,344.19
ENV-00053,2026-03-06,2026-03-02,SED-07,Puno,Puno,Sierra,Río Rápido,Camión,160.7,1,6.4,283.1,420.1,1,31,505.3
ENV-00054,2026-03-05,2026-03-02,SED-07,Puno,Puno,Sierra,Costa Norte,Camión,108.9,0,0.0,209.7,172.5,0,18,326.87
ENV-00055,2026-03-06,2026-03-02,SED-07,Puno,Puno,Sierra,Apu Express,Moto,26.4,1,20.9,82.7,114.6,1,30,260.51
ENV-00056,2026-03-07,2026-03-02,SED-07,Puno,Puno,Sierra,Río Rápido,Moto,88.1,0,0.0,147.5,155.0,0,32,332.72
ENV-00057,2026-03-04,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Apu Express,Van,37.6,0,0.0,102.0,88.5,0,4,155.05
ENV-00058,2026-03-03,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Moto,96.4,0,0.0,156.2,144.5,0,32,347.68
ENV-00059,2026-03-05,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Van,160.6,0,0.0,255.7,230.9,0,10,395.07
ENV-00060,2026-03-04,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Río Rápido,Van,141.6,1,12.3,232.0,312.4,1,9,402.72
ENV-00061,2026-03-03,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Río Rápido,Moto,59.4,1,6.9,117.4,169.8,1,16,276.53
ENV-00062,2026-03-06,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Río Rápido,Moto,49.6,1,7.9,107.1,137.4,1,17,261.99
ENV-00063,2026-03-05,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Camión,193.7,0,0.0,330.1,347.2,0,22,491.86
ENV-00064,2026-03-06,2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Camión,88.1,1,2.0,180.1,218.2,1,20,340.61
ENV-00065,2026-03-04,2026-03-02,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,88.8,0,0.0,166.0,176.8,0,33,337.13
ENV-00066,2026-03-07,2026-03-02,SED-09,Huancayo,Junín,Sierra,Costa Norte,Camión,76.3,0,0.0,163.4,205.2,1,41,339.48
ENV-00067,2026-03-08,2026-03-02,SED-09,Huancayo,Junín,Sierra,Costa Norte,Moto,151.1,0,0.0,213.6,259.9,1,24,421.35
ENV-00068,2026-03-02,2026-03-02,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,94.9,0,0.0,173.6,185.0,0,7,267.49
ENV-00069,2026-03-07,2026-03-02,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,179.5,0,0.0,279.4,340.7,1,17,450.83
ENV-00070,2026-03-07,2026-03-02,SED-09,Huancayo,Junín,Sierra,Río Rápido,Camión,79.2,0,0.0,167.4,190.7,1,34,322.92
ENV-00071,2026-03-02,2026-03-02,SED-09,Huancayo,Junín,Sierra,Apu Express,Moto,24.1,0,0.0,80.3,85.9,0,35,226.85
ENV-00072,2026-03-06,2026-03-02,SED-09,Huancayo,Junín,Sierra,Río Rápido,Moto,138.2,0,0.0,200.1,243.4,1,5,339.17
ENV-00073,2026-03-02,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Van,50.9,0,0.0,118.7,122.2,0,39,287.58
ENV-00074,2026-03-07,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Costa Norte,Camión,15.4,1,2.3,76.8,105.8,1,33,249.99
ENV-00075,2026-03-04,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Apu Express,Van,53.2,1,8.1,121.6,120.2,0,31,311.95
ENV-00076,2026-03-04,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Apu Express,Van,90.7,1,20.1,168.4,186.7,0,8,308.06
ENV-00077,2026-03-07,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Costa Norte,Van,45.8,1,25.3,112.2,193.7,1,36,314.0
ENV-00078,2026-03-05,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Costa Norte,Van,51.9,1,6.0,119.9,136.2,1,6,232.02
ENV-00079,2026-03-07,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Costa Norte,Moto,57.2,0,0.0,115.1,125.9,0,5,193.53
ENV-00080,2026-03-06,2026-03-02,SED-10,Tarapoto,San Martín,Selva,Apu Express,Van,77.0,1,3.9,151.3,181.4,1,17,311.31
ENV-00081,2026-03-03,2026-03-02,SED-11,Iquitos,Loreto,Selva,Apu Express,Van,59.2,0,0.0,129.0,124.9,0,10,212.51
ENV-00082,2026-03-05,2026-03-02,SED-11,Iquitos,Loreto,Selva,Costa Norte,Camión,164.6,1,13.0,288.8,306.8,0,40,540.33
ENV-00083,2026-03-04,2026-03-02,SED-11,Iquitos,Loreto,Selva,Apu Express,Van,15.5,1,3.5,74.4,88.5,1,29,237.81
ENV-00084,2026-03-02,2026-03-02,SED-11,Iquitos,Loreto,Selva,Costa Norte,Van,78.4,1,8.7,153.0,180.6,1,23,332.37
ENV-00085,2026-03-08,2026-03-02,SED-11,Iquitos,Loreto,Selva,Apu Express,Camión,18.9,0,0.0,81.9,72.6,0,36,220.64
ENV-00086,2026-03-06,2026-03-02,SED-11,Iquitos,Loreto,Selva,Apu Express,Moto,160.0,0,0.0,223.0,207.5,0,41,490.05
ENV-00087,2026-03-04,2026-03-02,SED-11,Iquitos,Loreto,Selva,Costa Norte,Van,281.7,1,1.7,407.2,481.2,1,24,701.51
ENV-00088,2026-03-07,2026-03-02,SED-11,Iquitos,Loreto,Selva,Costa Norte,Van,42.9,1,3.9,108.7,146.8,1,9,225.18
ENV-00089,2026-03-03,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Costa Norte,Van,110.7,1,4.4,193.4,269.7,1,21,384.34
ENV-00090,2026-03-03,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Costa Norte,Moto,138.6,1,16.5,200.5,287.4,1,39,490.4
ENV-00091,2026-03-04,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Apu Express,Camión,115.9,1,1.6,219.6,254.0,1,34,434.06
ENV-00092,2026-03-02,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Apu Express,Van,79.9,1,10.0,154.9,174.4,1,6,282.45
ENV-00093,2026-03-08,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Costa Norte,Moto,81.4,1,12.2,140.5,156.5,0,7,288.26
ENV-00094,2026-03-02,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Apu Express,Van,87.1,1,17.2,163.8,172.2,0,14,320.12
ENV-00095,2026-03-08,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Río Rápido,Camión,71.8,1,7.9,157.0,215.9,1,27,333.01
ENV-00096,2026-03-07,2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Río Rápido,Van,65.2,1,1.8,136.5,160.4,1,40,361.39
ENV-00097,2026-03-14,2026-03-09,SED-01,Lima,Lima,Costa,Río Rápido,Camión,104.2,0,0.0,203.0,259.5,1,40,386.62
ENV-00098,2026-03-10,2026-03-09,SED-01,Lima,Lima,Costa,Costa Norte,Moto,31.0,0,0.0,87.6,92.9,0,7,152.5
ENV-00099,2026-03-14,2026-03-09,SED-01,Lima,Lima,Costa,Río Rápido,Van,109.7,0,0.0,192.2,268.8,1,28,359.32
ENV-00100,2026-03-14,2026-03-09,SED-01,Lima,Lima,Costa,Costa Norte,Van,24.4,0,0.0,85.5,102.0,1,7,140.62
ENV-00101,2026-03-14,2026-03-09,SED-01,Lima,Lima,Costa,Costa Norte,Van,31.6,0,0.0,94.5,110.1,1,35,240.37
ENV-00102,2026-03-09,2026-03-09,SED-01,Lima,Lima,Costa,Costa Norte,Camión,22.9,0,0.0,87.6,115.3,1,14,159.66
ENV-00103,2026-03-15,2026-03-09,SED-01,Lima,Lima,Costa,Río Rápido,Van,65.6,0,0.0,137.0,157.4,1,16,242.75
ENV-00104,2026-03-12,2026-03-09,SED-01,Lima,Lima,Costa,Apu Express,Van,53.7,0,0.0,122.1,139.8,1,26,252.28
ENV-00105,2026-03-12,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Camión,79.5,1,14.3,167.9,191.2,1,26,343.7
ENV-00106,2026-03-14,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Moto,165.0,0,0.0,228.2,260.7,1,5,387.43
ENV-00107,2026-03-12,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Van,43.2,0,0.0,109.0,135.7,1,19,211.66
ENV-00108,2026-03-14,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Van,170.2,0,0.0,267.8,248.7,0,20,443.41
ENV-00109,2026-03-12,2026-03-09,SED-02,Piura,Piura,Costa,Costa Norte,Van,31.4,1,14.0,94.3,106.0,1,39,297.5
ENV-00110,2026-03-13,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Van,13.0,1,12.3,71.3,100.9,1,10,174.49
ENV-00111,2026-03-10,2026-03-09,SED-02,Piura,Piura,Costa,Costa Norte,Moto,85.0,0,0.0,144.2,160.5,0,21,293.06
ENV-00112,2026-03-12,2026-03-09,SED-02,Piura,Piura,Costa,Apu Express,Van,26.9,0,0.0,88.6,87.0,0,14,166.82
ENV-00113,2026-03-12,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Apu Express,Van,127.0,0,0.0,213.8,225.5,0,32,402.84
ENV-00114,2026-03-12,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Río Rápido,Camión,59.7,0,0.0,139.8,176.3,1,22,250.64
ENV-00115,2026-03-14,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Apu Express,Van,68.7,0,0.0,140.9,129.9,0,5,214.17
ENV-00116,2026-03-12,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Costa Norte,Van,24.9,0,0.0,86.2,94.1,0,35,228.4
ENV-00117,2026-03-12,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Apu Express,Moto,63.1,1,12.8,121.3,179.0,1,40,357.6
ENV-00118,2026-03-14,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Río Rápido,Moto,124.5,0,0.0,185.8,165.7,0,26,379.76
ENV-00119,2026-03-10,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Costa Norte,Van,130.2,1,8.3,217.8,274.3,1,5,369.86
ENV-00120,2026-03-12,2026-03-09,SED-03,Trujillo,La Libertad,Costa,Costa Norte,Camión,41.0,0,0.0,113.2,115.4,0,25,226.32
ENV-00121,2026-03-10,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Costa Norte,Van,65.4,0,0.0,136.7,129.8,0,30,285.68
ENV-00122,2026-03-13,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Costa Norte,Van,122.9,0,0.0,208.6,215.9,0,8,321.0
ENV-00123,2026-03-10,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Costa Norte,Moto,96.1,0,0.0,155.9,173.4,0,36,359.65
ENV-00124,2026-03-09,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Van,129.1,0,0.0,216.3,235.9,0,30,400.32
ENV-00125,2026-03-10,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Camión,93.1,0,0.0,187.2,133.6,0,36,354.16
ENV-00126,2026-03-12,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Costa Norte,Camión,82.7,0,0.0,172.4,174.2,0,24,298.25
ENV-00127,2026-03-11,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Río Rápido,Van,34.3,0,0.0,97.9,121.3,1,4,149.19
ENV-00128,2026-03-12,2026-03-09,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Camión,44.9,0,0.0,118.8,112.6,0,7,177.57
ENV-00129,2026-03-12,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Río Rápido,Camión,68.9,0,0.0,152.9,185.5,1,38,316.89
ENV-00130,2026-03-15,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Van,236.5,1,30.7,350.6,490.8,1,9,573.56
ENV-00131,2026-03-15,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Camión,95.8,0,0.0,191.0,244.1,1,35,355.85
ENV-00132,2026-03-10,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Río Rápido,Moto,185.6,0,0.0,249.9,300.2,1,29,498.99
ENV-00133,2026-03-13,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Apu Express,Moto,124.3,1,0.9,185.5,194.2,0,36,455.35
ENV-00134,2026-03-15,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Apu Express,Camión,20.0,1,10.9,83.3,89.1,0,37,270.62
ENV-00135,2026-03-13,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Río Rápido,Van,34.7,0,0.0,98.4,109.2,0,37,252.19
ENV-00136,2026-03-09,2026-03-09,SED-05,Arequipa,Arequipa,Sierra,Apu Express,Van,181.2,0,0.0,281.5,282.0,0,21,466.27
ENV-00137,2026-03-10,2026-03-09,SED-06,Cusco,Cusco,Sierra,Apu Express,Van,59.5,1,5.7,129.4,154.9,1,38,344.97
ENV-00138,2026-03-12,2026-03-09,SED-06,Cusco,Cusco,Sierra,Apu Express,Moto,49.3,1,12.3,106.8,134.7,1,23,280.03
ENV-00139,2026-03-09,2026-03-09,SED-06,Cusco,Cusco,Sierra,Costa Norte,Moto,155.9,0,0.0,218.7,247.9,1,39,476.46
ENV-00140,2026-03-15,2026-03-09,SED-06,Cusco,Cusco,Sierra,Apu Express,Camión,114.3,0,0.0,217.3,240.8,0,21,345.82
ENV-00141,2026-03-09,2026-03-09,SED-06,Cusco,Cusco,Sierra,Río Rápido,Camión,29.1,1,7.0,96.4,95.1,0,4,184.86
ENV-00142,2026-03-09,2026-03-09,SED-06,Cusco,Cusco,Sierra,Apu Express,Van,79.0,0,0.0,153.8,153.6,0,32,316.46
ENV-00143,2026-03-10,2026-03-09,SED-06,Cusco,Cusco,Sierra,Apu Express,Van,88.5,1,10.1,165.6,209.9,1,8,304.01
ENV-00144,2026-03-10,2026-03-09,SED-06,Cusco,Cusco,Sierra,Costa Norte,Moto,62.3,0,0.0,120.4,151.7,1,19,246.0
ENV-00145,2026-03-12,2026-03-09,SED-07,Puno,Puno,Sierra,Río Rápido,Van,27.6,1,2.9,89.5,117.4,1,10,200.74
ENV-00146,2026-03-10,2026-03-09,SED-07,Puno,Puno,Sierra,Apu Express,Van,132.2,0,0.0,220.2,225.0,0,12,350.12
ENV-00147,2026-03-14,2026-03-09,SED-07,Puno,Puno,Sierra,Costa Norte,Moto,200.4,0,0.0,265.4,302.0,1,23,507.07
ENV-00148,2026-03-11,2026-03-09,SED-07,Puno,Puno,Sierra,Río Rápido,Moto,112.2,1,18.1,172.9,271.9,1,12,359.24
ENV-00149,2026-03-11,2026-03-09,SED-07,Puno,Puno,Sierra,Apu Express,Camión,75.0,0,0.0,161.5,185.3,1,4,222.34
ENV-00150,2026-03-10,2026-03-09,SED-07,Puno,Puno,Sierra,Costa Norte,Camión,153.0,0,0.0,272.3,309.6,1,8,375.27
ENV-00151,2026-03-12,2026-03-09,SED-07,Puno,Puno,Sierra,Costa Norte,Camión,36.1,0,0.0,106.3,124.9,1,41,267.09
ENV-00152,2026-03-12,2026-03-09,SED-07,Puno,Puno,Sierra,Apu Express,Van,41.6,0,0.0,107.0,98.9,0,25,227.38
ENV-00153,2026-03-11,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Apu Express,Camión,61.5,1,12.4,142.3,149.2,0,18,286.51
ENV-00154,2026-03-15,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Río Rápido,Camión,56.8,0,0.0,135.7,162.4,1,5,192.8
ENV-00155,2026-03-14,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Apu Express,Van,58.7,1,6.4,128.4,144.1,1,15,272.15
ENV-00156,2026-03-09,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Van,81.7,0,0.0,157.1,150.7,0,15,268.59
ENV-00157,2026-03-11,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Camión,105.3,0,0.0,204.5,235.6,1,25,342.03
ENV-00158,2026-03-13,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Costa Norte,Camión,62.8,1,15.3,144.1,158.8,0,14,276.37
ENV-00159,2026-03-12,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Apu Express,Van,57.9,1,5.6,127.4,147.4,1,20,286.27
ENV-00160,2026-03-09,2026-03-09,SED-08,Ayacucho,Ayacucho,Sierra,Apu Express,Moto,47.2,0,0.0,104.6,116.0,0,30,253.04
ENV-00161,2026-03-11,2026-03-09,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,243.6,0,0.0,359.4,373.2,0,21,578.5
ENV-00162,2026-03-15,2026-03-09,SED-09,Huancayo,Junín,Sierra,Apu Express,Van,129.8,1,8.9,217.2,317.3,1,12,390.78
ENV-00163,2026-03-10,2026-03-09,SED-09,Huancayo,Junín,Sierra,Río Rápido,Van,81.2,0,0.0,156.5,175.0,0,5,236.64
ENV-00164,2026-03-13,2026-03-09,SED-09,Huancayo,Junín,Sierra,Apu Express,Van,87.3,0,0.0,164.1,156.0,0,30,325.07
ENV-00165,2026-03-15,2026-03-09,SED-09,Huancayo,Junín,Sierra,Apu Express,Camión,159.6,1,16.1,281.6,349.4,1,35,515.73
ENV-00166,2026-03-12,2026-03-09,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,13.2,1,4.1,71.6,77.6,0,36,255.44
ENV-00167,2026-03-11,2026-03-09,SED-09,Huancayo,Junín,Sierra,Costa Norte,Camión,131.4,1,19.4,241.6,253.5,0,8,381.32
ENV-00168,2026-03-15,2026-03-09,SED-09,Huancayo,Junín,Sierra,Costa Norte,Van,105.7,1,6.7,187.1,213.3,1,13,350.59
ENV-00169,2026-03-14,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Moto,156.2,1,30.6,219.0,258.7,1,4,413.57
ENV-00170,2026-03-15,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Moto,187.4,1,32.2,251.8,364.9,1,31,553.39
ENV-00171,2026-03-14,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Apu Express,Camión,50.3,1,1.3,126.5,125.5,0,40,334.59
ENV-00172,2026-03-11,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Apu Express,Camión,82.4,1,12.2,172.0,195.0,1,30,361.36
ENV-00173,2026-03-10,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Van,16.4,0,0.0,75.4,77.9,0,6,123.04
ENV-00174,2026-03-14,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Camión,254.1,0,0.0,415.9,429.1,0,19,591.33
ENV-00175,2026-03-11,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Río Rápido,Moto,114.3,1,3.9,175.0,203.3,1,33,428.0
ENV-00176,2026-03-13,2026-03-09,SED-10,Tarapoto,San Martín,Selva,Apu Express,Camión,35.7,1,5.3,105.8,147.2,1,10,215.35
ENV-00177,2026-03-13,2026-03-09,SED-11,Iquitos,Loreto,Selva,Apu Express,Moto,130.0,1,6.5,191.5,224.6,1,15,400.57
